epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,141.034,0.39455,0.66473,0.36396,0.85604,0.98689,1,0.995,0.9369,0.98689,1,0.995,0.80147,0.43786,1.09556,0.32892,0.82863,0.00030477,0.00030477,0.00030477
49,143.209,0.42035,0.69752,0.37657,0.87089,0.98689,1,0.995,0.9369,0.98689,1,0.995,0.80147,0.43786,1.09556,0.32892,0.82863,0.000288315,0.000288315,0.000288315
50,145.604,0.39163,0.71678,0.33684,0.85633,0.98389,1,0.995,0.94353,0.98389,1,0.995,0.81845,0.40816,0.90285,0.28857,0.81987,0.000270917,0.000270917,0.000270917
51,156.154,0.34247,0.58434,0.34798,0.82619,0.98389,1,0.995,0.94353,0.98389,1,0.995,0.81845,0.40816,0.90285,0.28857,0.81987,0.000250075,0.000250075,0.000250075
52,161.239,0.34794,0.54453,0.33654,0.83028,0.98248,1,0.995,0.9526,0.98248,1,0.995,0.83319,0.36435,0.76308,0.28048,0.8071,0.000226497,0.000226497,0.000226497
53,165.881,0.35246,0.59602,0.33408,0.83439,0.98248,1,0.995,0.9526,0.98248,1,0.995,0.83319,0.36435,0.76308,0.28048,0.8071,0.000202918,0.000202918,0.000202918
54,168.587,0.34725,0.58983,0.3281,0.82317,0.97902,1,0.995,0.93712,0.97902,1,0.995,0.82645,0.36126,0.7661,0.27763,0.80621,0.00017934,0.00017934,0.00017934
55,170.743,0.32089,0.55137,0.32256,0.79929,0.97902,1,0.995,0.93712,0.97902,1,0.995,0.82645,0.36126,0.7661,0.27763,0.80621,0.000155761,0.000155761,0.000155761
56,173.028,0.32267,0.53758,0.32066,0.8118,0.97961,1,0.995,0.94899,0.97961,1,0.995,0.81433,0.36006,0.79109,0.25538,0.80645,0.000132183,0.000132183,0.000132183
57,176.014,0.30441,0.51438,0.31491,0.818,0.97961,1,0.995,0.94899,0.97961,1,0.995,0.81433,0.36006,0.79109,0.25538,0.80645,0.000108604,0.000108604,0.000108604
58,178.233,0.33399,0.56487,0.32183,0.81648,0.9844,1,0.995,0.94902,0.9844,1,0.995,0.82935,0.35765,0.79176,0.24808,0.80688,8.50255e-05,8.50255e-05,8.50255e-05
59,180.739,0.32501,0.53847,0.31036,0.81875,0.9844,1,0.995,0.94902,0.9844,1,0.995,0.82935,0.35765,0.79176,0.24808,0.80688,6.1447e-05,6.1447e-05,6.1447e-05
60,183.042,0.31842,0.5256,0.30393,0.81919,0.98667,1,0.995,0.9487,0.98667,1,0.995,0.82533,0.34985,0.76173,0.23407,0.80568,3.78685e-05,3.78685e-05,3.78685e-05
